2014-10-16 03:01:29,093 INFO  - Application started.
2014-10-16 03:01:31,113 INFO  - Config file loaded.
2014-10-16 03:01:31,372 INFO  - Database connection successful (localhost:3306/genericdwh).
2014-10-16 03:01:31,372 INFO  - Config file saved.
2014-10-16 03:01:49,751 INFO  - Changes discarded.
2014-10-16 03:01:59,979 INFO  - Changes discarded.
2014-10-16 03:02:20,737 INFO  - Validation successful.
2014-10-16 03:02:20,746 INFO  - Ratio Relation created.
2014-10-16 03:02:20,747 INFO  - Executed SQL: insert into `ratio_relations` (`dependent_id`, `dependency_id`) values (2, 3)
2014-10-16 03:02:20,749 INFO  - Changes saved.
2014-10-16 03:02:31,022 INFO  - Application exited.
