2014-10-15 23:06:43,256 INFO  - Application started.
2014-10-15 23:06:46,079 INFO  - Config file loaded.
2014-10-15 23:06:47,081 INFO  - Database connection successful (localhost:3306/genericdwh).
2014-10-15 23:06:47,082 INFO  - Config file saved.
2014-10-15 23:06:58,165 INFO  - Executing Query ...
2014-10-15 23:06:58,165 INFO  - Query parameters - Column Dimensions: [Länder, Angestellte], Row Dimensions: [Jahre], Filtered Reference Objects: [], Ratios: [Umsätze]
2014-10-15 23:06:58,189 INFO  - Executed SQL: select `facts`.`ratio_id`, `facts`.`reference_object_id`, `facts`.`value`, `facts`.`unit_id`, `reference_objects`.`reference_object_id`, `reference_objects`.`dimension_id`, `reference_objects`.`name`, `reference_object_combinations`.`aggregate_id`, `reference_object_combinations`.`component_id` from `facts` join `reference_objects` on `facts`.`reference_object_id` = `reference_objects`.`reference_object_id` join `reference_object_combinations` on `facts`.`reference_object_id` = `reference_object_combinations`.`aggregate_id` where (`facts`.`ratio_id` = 2 and `reference_objects`.`dimension_id` = 7)
2014-10-15 23:06:58,211 INFO  - Query executed successfully.
2014-10-15 23:07:02,850 INFO  - Executing Query ...
2014-10-15 23:07:02,851 INFO  - Query parameters - Column Dimensions: [Jahre], Row Dimensions: [Länder, Angestellte], Filtered Reference Objects: [], Ratios: [Umsätze]
2014-10-15 23:07:02,861 INFO  - Executed SQL: select `facts`.`ratio_id`, `facts`.`reference_object_id`, `facts`.`value`, `facts`.`unit_id`, `reference_objects`.`reference_object_id`, `reference_objects`.`dimension_id`, `reference_objects`.`name`, `reference_object_combinations`.`aggregate_id`, `reference_object_combinations`.`component_id` from `facts` join `reference_objects` on `facts`.`reference_object_id` = `reference_objects`.`reference_object_id` join `reference_object_combinations` on `facts`.`reference_object_id` = `reference_object_combinations`.`aggregate_id` where (`facts`.`ratio_id` = 2 and `reference_objects`.`dimension_id` = 7)
2014-10-15 23:07:02,868 INFO  - Query executed successfully.
2014-10-15 23:09:24,319 INFO  - Application exited.
